"","manufacturer","model","displ","year","cyl","trans","drv","city","highway","fl","class","total","av"
"1","audi","a4",1.8,1999,4,"auto(l5)","f",18,29,"p","compact",47,23.5
"2","audi","a4",1.8,1999,4,"manual(m5)","f",21,29,"p","compact",50,25
"3","audi","a4",2,2008,4,"manual(m6)","f",20,31,"p","compact",51,25.5
"4","audi","a4",2,2008,4,"auto(av)","f",21,30,"p","compact",51,25.5
"5","audi","a4",2.8,1999,6,"auto(l5)","f",16,26,"p","compact",42,21
"6","audi","a4",2.8,1999,6,"manual(m5)","f",18,26,"p","compact",44,22
"7","audi","a4",3.1,2008,6,"auto(av)","f",18,27,"p","compact",45,22.5
"8","audi","a4 quattro",1.8,1999,4,"manual(m5)","4",18,26,"p","compact",44,22
"9","audi","a4 quattro",1.8,1999,4,"auto(l5)","4",16,25,"p","compact",41,20.5
"10","audi","a4 quattro",2,2008,4,"manual(m6)","4",20,28,"p","compact",48,24
"11","audi","a4 quattro",2,2008,4,"auto(s6)","4",19,27,"p","compact",46,23
"12","audi","a4 quattro",2.8,1999,6,"auto(l5)","4",15,25,"p","compact",40,20
"13","audi","a4 quattro",2.8,1999,6,"manual(m5)","4",17,25,"p","compact",42,21
"14","audi","a4 quattro",3.1,2008,6,"auto(s6)","4",17,25,"p","compact",42,21
"15","audi","a4 quattro",3.1,2008,6,"manual(m6)","4",15,25,"p","compact",40,20
"16","audi","a6 quattro",2.8,1999,6,"auto(l5)","4",15,24,"p","midsize",39,19.5
"17","audi","a6 quattro",3.1,2008,6,"auto(s6)","4",17,25,"p","midsize",42,21
"18","audi","a6 quattro",4.2,2008,8,"auto(s6)","4",16,23,"p","midsize",39,19.5
"19","chevrolet","c1500 suburban 2wd",5.3,2008,8,"auto(l4)","r",14,20,"r","suv",34,17
"20","chevrolet","c1500 suburban 2wd",5.3,2008,8,"auto(l4)","r",11,15,"e","suv",26,13
"21","chevrolet","c1500 suburban 2wd",5.3,2008,8,"auto(l4)","r",14,20,"r","suv",34,17
"22","chevrolet","c1500 suburban 2wd",5.7,1999,8,"auto(l4)","r",13,17,"r","suv",30,15
"23","chevrolet","c1500 suburban 2wd",6,2008,8,"auto(l4)","r",12,17,"r","suv",29,14.5
"24","chevrolet","corvette",5.7,1999,8,"manual(m6)","r",16,26,"p","2seater",42,21
"25","chevrolet","corvette",5.7,1999,8,"auto(l4)","r",15,23,"p","2seater",38,19
"26","chevrolet","corvette",6.2,2008,8,"manual(m6)","r",16,26,"p","2seater",42,21
"27","chevrolet","corvette",6.2,2008,8,"auto(s6)","r",15,25,"p","2seater",40,20
"28","chevrolet","corvette",7,2008,8,"manual(m6)","r",15,24,"p","2seater",39,19.5
"29","chevrolet","k1500 tahoe 4wd",5.3,2008,8,"auto(l4)","4",14,19,"r","suv",33,16.5
"30","chevrolet","k1500 tahoe 4wd",5.3,2008,8,"auto(l4)","4",11,14,"e","suv",25,12.5
"31","chevrolet","k1500 tahoe 4wd",5.7,1999,8,"auto(l4)","4",11,15,"r","suv",26,13
"32","chevrolet","k1500 tahoe 4wd",6.5,1999,8,"auto(l4)","4",14,17,"d","suv",31,15.5
"33","chevrolet","malibu",2.4,1999,4,"auto(l4)","f",19,27,"r","midsize",46,23
"34","chevrolet","malibu",2.4,2008,4,"auto(l4)","f",22,30,"r","midsize",52,26
"35","chevrolet","malibu",3.1,1999,6,"auto(l4)","f",18,26,"r","midsize",44,22
"36","chevrolet","malibu",3.5,2008,6,"auto(l4)","f",18,29,"r","midsize",47,23.5
"37","chevrolet","malibu",3.6,2008,6,"auto(s6)","f",17,26,"r","midsize",43,21.5
"38","dodge","caravan 2wd",2.4,1999,4,"auto(l3)","f",18,24,"r","minivan",42,21
